"57:0:0_0:0:0";"0"
"57:1:0_0:0:0";"0"
"57:2:0_0:0:0";"0"
"57:3:0_0:0:0";"0"
"57:4:0_0:0:0";"0"
"57:5:0_0:0:0";"0"
"57:6:0_0:0:0";"0"
"57:7:0_0:0:0";"0"
"57:8:0_0:0:0";"0"
"57:9:0_0:0:0";"0"
"57:10:0_0:0:0";"0"
"57:11:0_0:0:0";"0"
"57:12:0_0:0:0";"0"
"57:13:0_0:0:0";"0"
"57:14:0_0:0:0";"0"
"57:15:0_0:0:0";"0"
"57:16:0_0:0:0";"0"
"57:17:0_0:0:0";"0"
"57:18:0_0:0:0";"0"
"57:19:0_0:0:0";"0"
"57:20:0_0:0:0";"0"
"57:21:0_0:0:0";"0"
"57:22:0_0:0:0";"0"
"57:23:0_0:0:0";"0"
"57:24:0_0:0:0";"0"
"57:25:0_0:0:0";"0"
"57:26:0_0:0:0";"0"
"57:27:0_0:0:0";"0"
"57:28:0_0:0:0";"0"
"57:29:0_0:0:0";"0"
"57:30:0_0:0:0";"0"
"57:31:0_0:0:0";"0"
"57:32:0_0:0:0";"0"
"57:33:0_0:0:0";"0"
"57:34:0_0:0:0";"0"
"57:35:0_0:0:0";"0"
"57:36:0_0:0:0";"0"
"57:37:0_0:0:0";"0"
"57:38:0_0:0:0";"0"
"57:39:0_0:0:0";"0"
"57:40:0_0:0:0";"0"
"57:41:0_0:0:0";"0"
"57:42:0_0:0:0";"0"
"57:43:0_0:0:0";"0"
"57:44:0_0:0:0";"0"
"57:45:0_0:0:0";"0"
"57:46:0_0:0:0";"0"
"57:47:0_0:0:0";"0"
"57:48:0_0:0:0";"0"
"57:49:0_0:0:0";"0"
"57:50:0_0:0:0";"0"
"57:51:0_0:0:0";"0"
"57:52:0_0:0:0";"0"
"57:53:0_0:0:0";"0"
"57:54:0_0:0:0";"0"
"57:55:0_0:0:0";"112/1442445"
"57:56:0_0:0:0";"2/12995"
"0:57:0_0:0:0";"0"
"1:57:0_0:0:0";"0"
"2:57:0_0:0:0";"0"
"3:57:0_0:0:0";"0"
"4:57:0_0:0:0";"0"
"5:57:0_0:0:0";"0"
"6:57:0_0:0:0";"0"
"7:57:0_0:0:0";"0"
"8:57:0_0:0:0";"0"
"9:57:0_0:0:0";"0"
"10:57:0_0:0:0";"0"
"11:57:0_0:0:0";"0"
"12:57:0_0:0:0";"0"
"13:57:0_0:0:0";"0"
